Population,Pedigree,Run,Rate,Number,Survival,Biomass
BC-8,BC,2,105,5,High,0.13
BC-8,BC,2,105,6,High,0.08
BC-8,BC,2,105,7,High,0.09
BC-8,BC,2,105,8,High,0.07
BC-8,BC,2,105,9,High,0.12
BC-8,BC,2,105,10,High,0.12
BC-8,BC,2,105,11,High,0.12
BC-8,BC,2,105,12,High,0.09
BC-8,BC,2,105,13,High,0.11
BC-8,BC,2,105,14,High,0.06
BC-8,BC,2,105,15,High,0.08
BC-8,BC,2,105,16,Died,0.06
BC-8,BC,2,105,17,High,0.1
BC-8,BC,2,105,18,High,0.11
BC-8,BC,2,105,19,High,0.13
BC-8,BC,2,105,20,High,0.12
BC-8,BC,2,105,21,High,0.14
BC-8,BC,2,105,22,High,0.09
BC-8,BC,2,105,23,High,0.08
BC-8,BC,2,105,24,Medium,0.12
BC-8,BC,2,105,25,Medium,0.1
BC-8,BC,2,105,26,Medium,0.2
BC-8,BC,2,105,27,High,0.06
BC-8,BC,2,105,28,High,0.07
BC-8,BC,2,105,29,Died,0.05
BC-8,BC,2,105,30,Low,0.3
BC-8,BC,2,105,31,Medium,0.15
BC-8,BC,2,105,32,High,0.09
BC-8,BC,2,105,33,Medium,0.17
BC-8,BC,2,105,34,High,0.08
BC-8,BC,2,105,35,Medium,0.07
BC-8,BC,2,105,36,Low,0.2
BC-8,BC,2,105,37,Medium,0.14
BC-8,BC,2,105,38,Medium,0.15
BC-8,BC,2,105,39,Low,0.18
BC-8,BC,2,105,40,Medium,0.09
BC-8,BC,2,105,41,Medium,0.07
BC-8,BC,2,105,42,Low,0.13
BC-8,BC,2,105,43,Medium,0.14
BC-8,BC,2,105,44,Medium,0.17
BC-8,BC,2,105,45,Medium,0.21
BC-8,BC,2,105,46,Died,0.06
BC-8,BC,2,105,47,High,0.11
BC-8,BC,2,105,48,Medium,0.1
BC-8,BC,2,105,49,Died,0.08
BC-8,BC,2,105,50,Medium,0.016
BC-8,BC,2,105,51,Medium,0.15
BC-8,BC,2,105,52,Medium,0.14
BC-8,BC,2,105,53,Died,0.11
BC-8,BC,2,105,54,Medium,0.15
BC-8,BC,2,105,55,High,0.08
BC-8,BC,2,105,56,High,0.1
BC-8,BC,2,105,57,High,0.1
BC-8,BC,2,105,58,High,0.21
BC-8,BC,2,105,59,Medium,0.28
BC-8,BC,2,105,60,Medium,0.07
BC-8,BC,2,105,61,High,0.15
BC-8,BC,2,105,62,Medium,0.14
BC-8,BC,2,105,63,High,0.09
BC-8,BC,2,105,64,Died,0.08
BC-8,BC,2,105,65,High,0.13
BC-8,BC,2,105,66,Medium,0.17
F2-9,F2,2,105,4,Died,0.1
F2-9,F2,2,105,5,Low,0.46
F2-9,F2,2,105,6,Low,0.59
F2-9,F2,2,105,7,Low,0.54
F2-9,F2,2,105,8,Low,0.43
F2-9,F2,2,105,9,Low,0.25
F2-9,F2,2,105,10,Low,0.28
F2-9,F2,2,105,11,Low,0.28
F2-9,F2,2,105,12,Low,0.27
F2-9,F2,2,105,13,Low,0.38
F2-9,F2,2,105,14,Low,0.59
F2-9,F2,2,105,15,Low,0.22
F2-9,F2,2,105,16,Low,0.36
F2-9,F2,2,105,17,Low,0.51
F2-9,F2,2,105,18,Low,0.46
F2-9,F2,2,105,19,Low,0.63
F2-9,F2,2,105,20,Low,0.45
F2-9,F2,2,105,21,Low,0.41
F2-9,F2,2,105,22,Low,0.46
F2-9,F2,2,105,23,Low,0.37
F2-9,F2,2,105,24,Low,0.27
F2-9,F2,2,105,25,Low,0.37
F2-9,F2,2,105,26,Low,0.33
F2-9,F2,2,105,27,Low,0.49
F2-9,F2,2,105,28,Low,0.25
F2-9,F2,2,105,29,Low,0.34
F2-9,F2,2,105,30,Low,0.28
F2-9,F2,2,105,31,Low,0.15
F2-9,F2,2,105,32,Low,0.4
F2-9,F2,2,105,33,Low,0.22
F2-9,F2,2,105,34,Low,0.42
F2-9,F2,2,105,35,Low,0.36
F2-9,F2,2,105,36,Low,0.38
F2-9,F2,2,105,37,Low,0.35
F2-9,F2,2,105,38,Low,0.43
F2-9,F2,2,105,39,Low,0.49
F2-9,F2,2,105,40,Low,0.34
F2-9,F2,2,105,41,Low,0.45
F2-9,F2,2,105,42,Low,0.57
F2-9,F2,2,105,43,Low,0.46
F2-9,F2,2,105,44,Low,0.27
F2-9,F2,2,105,45,Low,0.31
F2-9,F2,2,105,46,Low,0.49
F2-9,F2,2,105,47,Low,0.28
F2-9,F2,2,105,48,Low,0.55
F2-9,F2,2,105,49,Medium,0.12
F2-9,F2,2,105,50,Low,0.39
F2-9,F2,2,105,51,Low,0.19
F2-9,F2,2,105,52,Died,0.06
F2-9,F2,2,105,53,Died,0.08
F2-9,F2,2,105,54,Low,0.24
F2-9,F2,2,105,55,Low,0.42
F2-9,F2,2,105,56,Low,0.59
F2-9,F2,2,105,57,Low,0.37
F2-9,F2,2,105,58,Low,0.24
F2-9,F2,2,105,59,Low,0.45
F2-9,F2,2,105,60,Low,0.33
F2-9,F2,2,105,61,Low,0.33
F2-9,F2,2,105,62,Low,0.41
F2-9,F2,2,105,63,Low,0.45
F2-9,F2,2,105,64,Low,0.27
F2-9,F2,2,105,65,Low,0.37
F2-9,F2,2,105,66,Low,0.59
